,NUMERO_ORDRE,Exercice d’engagement,Date d’engagement,Rubrique budgétaire,Type d’engagement,Montant engagé,Fournisseur,type de dépense,Nature de prestation,Service bénéficiair,"type budget(I,F)"
2266,4125/2012,2012,2013-02-19 00:00:00,"Achats de travaux, études et prestations de service",Engagement,299940.0,DIAL TECHNOLOGIES,Marché Services,SOLUTION INFORMATIQUE,Siege,Investissement
2267,1179/2013,2013,2013-02-28 00:00:00,Maintenance des agencements & installations techniques									,Engagement,3900.0,MAX AFFAIRE S.A.R.L,Bon de commandes,Service,Direction régionale MEKNES TAFILALT (DRMT),Investissement
2268,1602/2013,2013,2013-06-18 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2269,1649/2013,2013,2013-06-21 00:00:00,Achat de fournitures de bureau,Engagement,619.44,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2270,1692/2013,2013,2013-06-26 00:00:00,Achat de fournitures de bureau,Engagement,1039.68,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2271,162/2013,2013,2013-02-14 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,240000.0,IBM MAROC,Marché Services,Maintenance,Siege,Investissement
2272,4111/2012,2012,2013-02-18 00:00:00,"Autres installations techniques, matériel et outillage",Engagement,11232.0,CASA POMPE,Bon de commandes,Travaux,Siege,Investissement
2273,461/2013,2013,2013-03-18 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3953.4,RENAULT COMMERCE MAROC,Bon de commandes,Réparation,Siege,Investissement
2274,834/2013,2013,2013-04-19 00:00:00,Maintenance des agencements & installations techniques									,Engagement,15432.0,SOLVO TRAVAUX DIVERS S.A.R.L,Bon de commandes,Maintenance,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2275,4195/2012,2012,2013-03-13 00:00:00,Assurances matériel de transport,Engagement,328320.0,GRAS SAVOYE,Marché Services,Service,Siege,Investissement
2276,1819/2013,2013,2013-07-09 00:00:00,Achat de fournitures de bureau,Engagement,519.84,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2277,1859/2013,2013,2013-07-10 00:00:00,"Achats de travaux, études et prestations de service",Engagement,290640.0,ARCHOS TECHNOLOGY,Bon de commandes,SOLUTION INFORMATIQUE,Siege,Investissement
2278,1604/2013,2013,2013-06-18 00:00:00,Achat de fournitures de bureau,Engagement,519.84,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2279,3796/2012,2012,2013-01-15 00:00:00,Réception & participation aux manifestations officielles									,Engagement,26792.0,HOTEL FARAH CASABLANCA,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2280,256/2013,2013,2013-02-21 00:00:00,Honoraires									,Engagement,400.0,MR BACHARI ABDELFATAH,Bon de commandes,Service,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2281,918/2013,2013,2013-05-03 00:00:00,Formation									,Engagement,55789.0,GROUPE MATRIX INFO,Marché Services,Acquisition de fournitures de bureau,Siege,Investissement
2282,1145/2013,2013,2013-05-17 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1252.0,LABO PHOTO SAOUID,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2283,1966/2013,2013,2013-07-18 00:00:00,Missions									,Engagement,9165.0,ICO TOURS INTERNATIONAL,Bon de commandes,Missions,Siege,Investissement
2284,4307/2012,2012,2013-06-05 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2470.0,HOTEL IDOU ANFA,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2285,1465/2013,2013,2013-06-07 00:00:00,Agencements et améganements des agences et des représentations,Engagement,1115628.0,BENSALMAN,Marché Travaux,Travaux,Siege,Investissement
2286,280/2013,2013,2013-02-25 00:00:00,Achat de fournitures de bureau,Engagement,1612.8,LA COMPAGNIE MAROCAINE DU STREET MARKETING,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2287,1117/2013,2013,2013-05-15 00:00:00,Réception & participation aux manifestations officielles									,Engagement,20779.2,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2288,1636/2013,2013,2013-06-20 00:00:00,Réception & participation aux manifestations officielles									,Engagement,19200.06,HOTEL IDOU ANFA,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2289,716/2013,2013,2013-04-08 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2092.8,CBI,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale TANGER TETOUAN (DRTT),Investissement
2290,158/2014/96100,2014,2014-03-14 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3000.0,GARAGE TAMIMI,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale ORIENT (DRO),Investissement
2291,2288/2014,2014,2014-08-01 00:00:00,Achat de fournitures de bureau,Engagement,209633.4,DETROITEL SARL,Marché Fournitures,ACQUISITION DE FOURNITURES DE BUREAU ET FOURNITURES INFORMATIQUESS,Direction régionale TANGER TETOUAN (DRTT),Investissement
2292,2315/2014,2014,2014-08-06 00:00:00,Achat de fournitures informatiques,Engagement,203544.0,MONDOFFICE,Marché Fournitures,Acquisition de fournitures informatiques,Direction régionale TANGER TETOUAN (DRTT),Investissement
2293,1928/2014,2014,2014-06-30 00:00:00,Matériel et outillage,Engagement,86784.0,KALIBRA,Bon de commandes,Acquisition Matriel Technique,Siege,Investissement
2294,846/2014,2014,2014-04-09 00:00:00,Réception & participation aux manifestations officielles									,Engagement,22777.2,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2295,307/2014/94100,2014,2014-05-29 00:00:00,Achats de combustibles,Engagement,63000.0,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Direction régionale FES-SAISS (DRFS),Investissement
2296,2070/2014,2014,2014-07-07 00:00:00,Achat de fournitures de bureau,Engagement,103.92,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2297,DRRS 239/91100/2013,2013,2013-07-05 00:00:00,Achats de combustibles,Engagement,10000.0,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Direction régionale RABAT SALE (DRRS),Investissement
2298,DRRS 408/91100/2013,2013,2013-10-08 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1104.0,SOCIETE AL YOUSR,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
2299,1128/2014,2014,2014-02-03 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1744.0,CHAMPS ELYSEE RESTAURANT,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale KENITRA KHEMISSET (DRKK),Investissement
2300,2346/2014,2014,2014-08-07 00:00:00,Agencements et aménagements des constructions,Engagement,39720.0,DISKROM SARL,Bon de commandes,Agencement et aménagement des constructions,Direction régionale TANGER TETOUAN (DRTT),Investissement
2301,1126/2014,2014,2014-05-05 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3114.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2302,1127/2014,2014,2014-05-05 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3386.8,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
2303,510/2014/94100,2014,2014-09-17 00:00:00,Maintenance des agencements & installations techniques									,Engagement,3120.0,STE TAZA CLIM,Bon de commandes,"Installations techniques, Matériel et Outillage",Direction régionale FES-SAISS (DRFS),Investissement
2304,827/2014,2014,2014-04-10 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,4440.0,STE ALLAL FRERES,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2305,2549/2014,2014,2014-09-02 00:00:00,Achat de fournitures de bureau,Engagement,662.4,LA COMPAGNIE MAROCAINE DU STREET MARKETING,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
2306,848/2014,2014,2014-02-03 00:00:00,Achats de combustibles,Engagement,2140.94,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Siege,Investissement
2307,1097/2014,2014,2014-02-17 00:00:00,Réception & participation aux manifestations officielles									,Engagement,873.0,BLUE MAROC SARL,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale KENITRA KHEMISSET (DRKK),Investissement
2308,2545/2014,2014,2014-06-19 00:00:00,Achat de fournitures informatiques,Engagement,423000.0,MONDOFFICE,Marché Fournitures,Acquisition du consommable informatique,Siege,Investissement
2309,2834/2014,2014,2014-07-31 00:00:00,Documentation générale									,Engagement,279.0,LIBRAIRIE PAPETERIE HANANE,Bon de commandes,Documentation générale,Direction régionale CASA ANFA (DRCA),Investissement
2310,1193/2014,2014,2014-04-30 00:00:00,Documentation générale									,Engagement,243.0,LIBRAIRIE PAPETERIE HANANE,Bon de commandes,documentation générale,Direction régionale CASA ANFA (DRCA),Investissement
2311,1638/2014,2014,2014-06-11 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,1287.6,ATLAS COURANT,Bon de commandes,Entretien et réparations des biens immobiliers ,Siege,Investissement
2312,847/2014,2014,2014-01-02 00:00:00,Achats de combustibles,Engagement,3000.0,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Siege,Investissement
2313,1152/2014,2014,2014-04-01 00:00:00,Achats de combustibles,Engagement,59010.6,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Siege,Investissement
2314,1194/2014,2014,2014-04-30 00:00:00,Documentation générale									,Engagement,300.0,LIBRAIRIE PAPETERIE HANANE,Bon de commandes,documentation générale,Direction régionale CASA ANFA (DRCA),Investissement
2315,1533/2014,2014,2014-06-02 00:00:00,Achat de fournitures de bureau,Engagement,901944.0,DICAPA,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
2316,4269/2014,2014,2014-12-17 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,2447.81,OTIS MAROC,Bon de commandes,Entretien et réparation des biens mobiliers,Siege,Investissement
2317,824/2014,2014,2014-04-04 00:00:00,Matériel et outillage,Engagement,69528.0,INFOSTEK,Bon de commandes,"installation technique,materiel et outillage",Siege,Investissement
2318,2122/2014,2014,2014-05-06 00:00:00,Missions									,Engagement,15900.0,PAPILLON VOYAGES,Bon de commandes,Missions,Siege,Investissement
2319,1430/2014,2014,2014-02-26 00:00:00,Frais postaux									,Engagement,200.0,BUROPA,Marché Fournitures,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
2320,1432/2014,2014,2014-02-26 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,800.0,BUROPA,Marché Fournitures,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
2321,1433/2014,2014,2014-02-26 00:00:00,Droits d'enregistrements et de timbres									,Engagement,100.0,DIFFAZUR,Marché Fournitures,Acquisition du consommable informatique et bureautique,Direction des moyens generaux,Investissement
2322,1102/2014,2014,2014-02-17 00:00:00,Réception & participation aux manifestations officielles									,Engagement,873.0,BLUE MAROC SARL,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale KENITRA KHEMISSET (DRKK),Investissement
2323,1434/2014,2014,2014-02-26 00:00:00,"Achats de travaux, études et prestations de service",Engagement,300.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition du consommable informatique et bureautique,Direction des moyens generaux,Investissement
2324,4072/2014,2014,2014-12-10 00:00:00,Achat de fournitures informatiques,Engagement,520080.0,XOS MAROC,Marché Fournitures,Acquisition de fournitures informatiques,Siege,Investissement
2325,569/2013/96100,2013,2013-04-01 00:00:00,Transport									,Engagement,16800.0,STE ORELEP,Bon de commandes,Travaux de transport,Direction régionale ORIENT (DRO),Investissement
2326,770/2014/94100,2014,2014-12-19 00:00:00,Maintenance des agencements & installations techniques									,Engagement,3516.0,STE AMINE DE LA MAGIE ELECTRIQUE,Bon de commandes,Maintenance,Direction régionale FES-SAISS (DRFS),Investissement
2327,4331/2013,2013,2013-12-31 00:00:00,Achat de fournitures de bureau,Engagement,19920.0,STE PRIMUS,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2328,14/02/2014,2014,2014-02-14 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3740.0,ADIL LAGUIA-CHAHIA,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2329,4214/2013,2013,2013-12-26 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1580.0,GARAGE RIF SARL***,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2330,778/2013/94100,2013,2013-12-27 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,7260.0,BAHEJ PIECES AUTOS,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale FES-SAISS (DRFS),Investissement
2331,775/2013/94100,2013,2013-12-26 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,6468.0,EL MOKHTRIOUI M'HAMED,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale FES-SAISS (DRFS),Investissement
2332,66/2013/9310,2013,2013-12-27 00:00:00,Matériel de bureau,Engagement,16548.0,MOUJAHIDCOM S.A.R.L,Bon de commandes,Acquisition du Matériels de Bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2333,4356/2013,2013,2014-01-13 00:00:00,Documentation générale									,Engagement,16016.0,PAPETERIE MOURAI,Bon de commandes,documentation générale,Siege,Investissement
2334,89/2014,2014,2014-01-28 00:00:00,"Achats de travaux, études et prestations de service",Engagement,3565200.0,ARCHIVEX,Marché Services,Service,Siege,Investissement
2335,885/2014,2014,2014-02-28 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3160.0,STE CHERKAOUI MOHAMED SAID,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CHAOUIA TADLA (DRCT),Investissement
2336,516/B/201496100,2013,2014-04-10 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3399.18,HOTEL ATLAS ORIENT,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale ORIENT (DRO),Investissement
2337,DRRS 577/91100/2013,2013,2013-12-09 00:00:00,Réception & participation aux manifestations officielles									,Engagement,215.0,PALFO SARL,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
2338,4223/2013,2013,2013-12-27 00:00:00,Matériel de bureau,Engagement,40560.0,KALIBRA,Bon de commandes,Acquisition du Matériels de Bureau,Siege,Investissement
2339,4264/2013,2013,2013-12-17 00:00:00,Matériel informatique,Engagement,130468.5,PREMIUM TELECOM ET CUSTOMER SERVICES,Bon de commandes,Service,Siege,Investissement
2340,4336/2013,2013,2013-12-31 00:00:00,Agencements et améganements des agences et des représentations,Engagement,882108.0,MAX AFFAIRE S.A.R.L,Marché Travaux,Travaux,Siege,Investissement
2341,373/2014,2014,2014-03-05 00:00:00,Réception & participation aux manifestations officielles									,Engagement,22777.2,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
